Tensile stress;Tensile strain (Extension)
(MPa);(mm/mm)
0.039692708;0.037565455
0.03955;0.03769303
0.041341667;0.037821212
0.040571875;0.03796303
0.039310938;0.038094848
0.041241146;0.038243636
0.041815625;0.038405758
0.04079375;0.038580909
0.042490625;0.038747273
0.042634375;0.038945152
0.040920833;0.039126364
0.043334896;0.039304848
0.04160625;0.039463333
0.042072396;0.039611515
0.043719792;0.039773333
0.043297917;0.039913939
0.042239583;0.040044242
0.043826563;0.040210303
0.044546354;0.040371818
0.042418229;0.040521212
0.043572917;0.040683333
0.044857813;0.04083303
0.043191146;0.040966667
0.044498958;0.041099091
0.045906771;0.041249091
0.044123958;0.041414848
0.044733854;0.041571515
0.045669271;0.041733333
0.04394375;0.041890606
0.044629688;0.042023636
0.046444271;0.042189091
0.045476563;0.042337576
0.045524479;0.042485455
0.047127083;0.042635455
0.044929688;0.042796667
0.045763542;0.042950303
0.047578646;0.04311
0.044694792;0.043245758
0.045396354;0.043386061
0.048377604;0.04354697
0.04595625;0.043708485
0.046915625;0.043848182
0.048893229;0.044006364
0.047305729;0.044174545
0.047365625;0.044318485
0.047966146;0.044473333
0.047402604;0.044612121
0.04766875;0.04475
0.050061979;0.044904848
0.048219792;0.045078182
0.046463542;0.045226364
0.050326042;0.045376061
0.049888542;0.045545758
0.048214063;0.045695758
0.050101042;0.04583
0.049509896;0.045967879
0.04875625;0.046106061
0.050658854;0.046262121
0.050640625;0.046425758
0.048744792;0.046579394
0.05046875;0.046722727
0.050873958;0.046874545
0.050064063;0.047018182
0.050514063;0.047145758
0.051006771;0.047295152
0.050077083;0.047447576
0.050459896;0.047589091
0.052733854;0.047744545
0.050528125;0.047878485
0.05213125;0.048026364
0.0521125;0.048197879
0.050988542;0.048353939
0.052091146;0.048503636
0.054308854;0.048645758
0.051291146;0.048798788
0.051911979;0.048953939
0.054213542;0.049106061
0.052775;0.049257879
0.052894271;0.04940303
0.054879688;0.049546667
0.052936458;0.049695758
0.053365625;0.049854242
0.054834375;0.050026364
0.053340625;0.050186061
0.053248958;0.050329697
0.055835417;0.050478788
0.054384375;0.050624848
0.053725521;0.050770606
0.056566667;0.050927576
0.054361979;0.051089091
